student_id,DOB,gender,district,city,ethnicity,feeder_id
681,1/26/1981,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,102
699,2/2/1984,M,CAYO,BENQUE VIEJO DEL CARMEN,Other,164
716,10/4/1981,M,CAYO,BELMOPAN CITY,Oriental,102
734,6/8/1981,M,STANN CREEK,STANN CREEK,Mestizo,164
751,11/16/1973,M,CAYO,BELMOPAN CITY,Creole,164
754,2/24/1982,M,CAYO,BELMOPAN CITY,Mestizo,164
757,12/14/1979,M,CAYO,BELMOPAN CITY,Creole,104
784,6/20/1981,M,CAYO,CAYO,Other,164
803,7/9/1970,F,CAYO,BELMOPAN CITY,Other,155
844,12/10/1981,M,CAYO,BELMOPAN CITY,Oriental,164
859,1/22/1981,M,BELIZE,BELIZE CITY,Creole,164
875,1/2/1981,M,BELIZE,BELIZE CITY,Other,164
886,4/20/1982,M,CAYO,BELMOPAN CITY,Creole,164
904,4/6/1980,M,BELIZE,BELIZE CITY,Mestizo,102
921,3/5/1976,M,BELIZE,BELIZE CITY,Other,164
923,7/15/1983,M,CAYO,BELMOPAN CITY,Oriental,164
944,9/8/1983,M,CAYO,CAYO,Mestizo,164
975,12/11/1981,M,CAYO,SAN IGNACIO,Mestizo,164
1006,9/9/1983,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,135
1016,10/22/1979,M,CAYO,BELMOPAN CITY,Creole,152
1079,6/9/1981,M,BELIZE,BELIZE CITY,Creole,152
1110,3/13/1972,M,BELIZE,BELIZE CITY,Creole,152
1143,8/4/1981,M,CAYO,SAN IGNACIO,Mestizo,164
1154,12/11/1985,M,STANN CREEK,STANN CREEK,Caucasian,164
1172,10/15/1983,M,ORANGE WALK,ORANGE WALK DISTRICT,Mestizo,135
1187,6/21/1985,M,BELIZE,BELIZE CITY,Creole,164
1214,6/13/1983,M,CAYO,BELMOPAN CITY,Oriental,164
1231,3/12/1983,M,CAYO,BELMOPAN CITY,Oriental,164
1249,12/26/1985,M,CAYO,SAN IGNACIO,Mestizo,164
1266,11/9/1985,M,STANN CREEK,STANN CREEK,Creole,164
1283,5/13/1984,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
1300,12/13/1984,M,COROZAL,COROZAL TOWN,Creole,164
1320,8/12/1982,M,COROZAL,COROZAL TOWN,Garifuna,164
1337,1/26/1986,M,COROZAL,SAN NARCISO VILLAGE,Mestizo,
1339,5/5/1984,M,BELIZE,BELIZE CITY,Creole,164
1362,8/19/1977,M,STANN CREEK,DANGRIGA TOWN,Creole,164
1376,2/25/1979,M,BELIZE,BELIZE CITY,Other,
1384,9/1/1980,F,CAYO,BELMOPAN CITY,Other,164
1405,9/6/1985,M,CAYO,BELMOPAN CITY,Creole,164
1421,6/16/1967,M,STANN CREEK,DANGRIGA TOWN,Creole,123
1430,9/14/1977,M,CAYO,BELMOPAN CITY,Mestizo,164
1453,5/24/1984,M,ORANGE WALK,ORANGE WALK DISTRICT,Creole,108
1456,10/18/1984,M,COROZAL,COROZAL DISTRICT,Mestizo,108
1459,12/8/1980,F,CAYO,BELMOPAN CITY,Mestizo,108
1474,10/24/1986,M,CAYO,BELMOPAN CITY,Garifuna,164
1502,11/24/1986,F,BELIZE,BELIZE CITY,Creole,152
1522,7/28/1986,M,CAYO,BELMOPAN CITY,Creole,143
1549,9/9/1986,M,CAYO,SAN IGNACIO,Mestizo,143
1585,7/10/1982,F,STANN CREEK,DANGRIGA TOWN,Oriental,164
1602,10/31/1986,M,CAYO,BELMOPAN CITY,Creole,164
1622,10/30/1975,M,CAYO,ROARING CREEK VILLAGE,Mayan,164
1647,4/6/1980,M,STANN CREEK,STANN CREEK,Creole,152
1658,1/11/1984,M,ORANGE WALK,ORANGE WALK TOWN,Oriental,164
1674,6/23/1986,M,CAYO,WESTERN HIGHWAY,East Indian,143
1680,11/5/1986,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,152
1717,10/23/1986,M,BELIZE,-,Creole,167
1763,11/11/1988,M,BELIZE,BELIZE CITY,Other,164
1782,9/4/1985,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,143
1816,1/27/1982,M,BELIZE,BELIZE CITY,Other,164
1835,6/8/1987,M,ORANGE WALK,,Mestizo,164
1841,5/1/1987,M,CAYO,BELMOPAN CITY,Creole,164
1865,2/27/1986,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
1890,8/5/1987,M,CAYO,BELMOPAN CITY,Mestizo,164
1908,12/1/1986,M,COROZAL,COROZAL,Oriental,164
1921,10/8/1984,M,CAYO,SAN IGNACIO,Other,143
1943,10/1/1986,M,CAYO,BELMOPAN CITY,Oriental,164
1969,6/4/1980,F,CAYO,SAN IGNACIO,Mestizo,164
1990,10/11/1981,F,CAYO,SAN IGNACIO,Mestizo,164
2010,4/3/1984,M,BELIZE,BELIZE CITY,Creole,164
2029,8/20/1984,M,BELIZE,BELIZE CITY,Other,164
2049,2/17/1974,M,BELIZE,BELIZE CITY,East Indian,107
2088,1/8/1985,M,BELIZE,BELIZE CITY,Creole,167
2091,8/8/1987,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
2097,10/17/1985,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,142
2103,11/14/1980,M,CAYO,BELMOPAN CITY,Creole,107
2107,9/2/1982,F,ORANGE WALK,ORANGE WALK TOWN,Mestizo,135
2156,12/6/1982,F,COROZAL,COROZAL TOWN,Mestizo,96
2170,12/10/1987,M,CAYO,SAN IGNACIO,Mestizo,164
2182,10/5/1987,M,BELIZE,BELIZE CITY,Creole,152
2199,8/27/1982,F,BELIZE,BELIZE CITY,Creole,152
2262,5/31/1988,F,ORANGE WALK,ORANGE WALK TOWN,Creole,164
2281,10/30/1988,F,BELIZE,BELIZE CITY,Creole,152
2319,11/3/1986,F,STANN CREEK,-,Mestizo,164
2349,6/20/1988,M,CAYO,SAN IGNACIO,Creole,164
2384,11/18/1987,M,CAYO,BELMOPAN CITY,Oriental,164
2414,11/6/1987,F,STANN CREEK,DANGRIGA TOWN,Creole,155
2449,10/7/1985,F,BELIZE,BURRELL BOOM VILLAGE,Mestizo,152
2490,2/1/1985,M,CAYO,BELMOPAN CITY,Other,164
2508,8/17/1987,M,CAYO,BELMOPAN CITY,Other,164
2525,1/10/1986,M,CAYO,SAN IGNACIO,Mestizo,143
2550,9/15/1985,M,BELIZE,-,Creole,152
2593,12/29/1986,M,CAYO,BELMOPAN CITY,Oriental,164
2623,12/20/1988,M,BELIZE,JANE USHER AREA,Creole,164
2639,4/24/1988,M,CAYO,BELMOPAN CITY,Mayan,164
2668,10/19/1984,M,BELIZE,,Mayan,152
2720,5/28/1985,M,BELIZE,BELIZE CITY,Creole,152
2771,4/8/1985,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
2796,4/25/1986,M,BELIZE,BELIZE CITY,Creole,152
2846,2/16/1988,F,BELIZE,,Mestizo,164
2864,4/11/1989,M,CAYO,BELMOPAN CITY,Mestizo,164
2884,4/9/1971,M,BELIZE,BELIZE CITY,Creole,164
2888,7/7/1968,M,CAYO,SAN IGNACIO,Creole,164
2892,11/10/1958,M,BELIZE,BELIZE CITY,Creole,165
2895,5/2/1989,M,CAYO,BELMOPAN CITY,Creole,164
2916,12/7/1989,M,STANN CREEK,INDEPENDENCE VILLAGE,Creole,
2940,10/4/1987,M,CAYO,BELMOPAN CITY,Oriental,164
2958,10/24/1988,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
2977,11/7/1988,M,CAYO,BELMOPAN CITY,Oriental,164
2998,6/1/1988,M,BELIZE,BELIZE CITY,Mestizo,164
3026,1/31/1985,M,COROZAL,COROZAL TOWN,Mestizo,117
3044,3/28/1989,M,BELIZE,LADYVILLE VILLAGE,Creole,164
3050,8/11/1988,F,CAYO,BELMOPAN CITY,Creole,104
3056,2/18/1986,M,COROZAL,COROZAL TOWN,Mestizo,96
3059,7/14/1985,M,BELIZE,BUTTONWOOD BAY,Mestizo,152
3109,11/20/1986,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,152
3143,7/11/1988,M,ORANGE WALK,,Mestizo,164
3165,7/23/1986,F,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
3179,11/5/1988,M,CAYO,BELMOPAN CITY,Garifuna,164
3200,1/4/1970,F,BELIZE,BELIZE,Creole,152
3227,1/8/1988,M,BELIZE,BELIZE CITY,Creole,152
3268,8/24/1988,M,CAYO,BELMOPAN CITY,Mestizo,164
3285,6/3/1988,M,CAYO,BELMOPAN CITY,Mestizo,164
3291,3/15/1988,F,BELIZE,BELIZE CITY,Mestizo,152
3303,4/6/1989,M,CAYO,BELMOPAN CITY,Mestizo,164
3320,1/23/1988,M,CAYO,SAN IGNACIO,Mestizo,165
3338,1/20/1989,M,STANN CREEK,-,Creole,164
3355,8/9/1986,M,CAYO,BELMOPAN CITY,Other,164
3373,5/1/1988,M,CAYO,BELMOPAN CITY,Mestizo,164
3391,9/26/1979,M,CAYO,BELMOPAN CITY,Other,165
3400,6/9/1989,M,BELIZE,BELIZE CITY,Creole,164
3420,4/28/1990,M,CAYO,-,Mestizo,164
3424,2/14/1990,M,BELIZE,STANN CREEK DISTRICT,Mestizo,
3445,2/12/1989,F,BELIZE,BELIZE CITY,Creole,152
3478,5/26/1986,F,BELIZE,LORDS BANK,Creole,165
3482,4/23/1987,F,ORANGE WALK,ORANGE WALK TOWN,Mestizo,148
3512,10/2/1988,M,BELIZE,BELIZE CITY,Creole,164
3519,6/15/1987,M,CAYO,SAN IGNACIO,Mayan,143
3551,2/7/1988,F,CAYO,BELMOPAN CITY,Oriental,
3569,12/28/1989,M,CAYO,BELMOPAN CITY,Mestizo,
3591,8/6/1989,M,STANN CREEK,DANGRIGA TOWN,Garifuna,164
3611,8/26/1990,F,CAYO,BELMOPAN CITY,Creole,164
3630,7/10/1990,M,STANN CREEK,DANGRIGA TOWN,Creole,156
3647,5/29/1986,M,CAYO,SAN IGNACIO,Mestizo,143
3672,9/13/1990,F,CAYO,BELMOPAN CITY,Mestizo,164
3695,2/23/1990,M,BELIZE,BELIZE CITY,Mestizo,162
3715,11/15/1990,M,CAYO,-,Mestizo,164
3736,10/15/1987,F,BELIZE,BELIZE CITY,Mestizo,167
3745,2/20/1987,M,BELIZE,BURRELL BOOM VILLAGE,Creole,164
3773,11/24/1990,F,CAYO,BELMOPAN CITY,Mayan,164
3791,4/8/1984,F,CAYO,CAMALOTE VILLAGE,Creole,104
3801,6/6/1980,M,CAYO,BELMOPAN CITY,Creole,164
3805,10/26/1990,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
3825,6/29/1990,M,BELIZE,BELIZE CITY,Creole,164
3847,7/15/1990,M,CAYO,BENQUE VIEJO DEL CARMEN,Mayan,164
3865,8/20/1992,M,CAYO,BELMOPAN CITY,Mayan,164
3883,2/26/1990,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
3901,9/18/1987,M,CAYO,-,Mayan,143
3933,9/11/1991,M,CAYO,BELMOPAN CITY,Creole,164
3952,12/14/1987,F,BELIZE,BELIZE DISTRICT,East Indian,164
3963,1/31/1981,M,CAYO,BELMOPAN CITY,Oriental,164
3970,6/20/1992,F,CAYO,BELMOPAN CITY,Creole,164
3979,4/26/1988,M,BELIZE,ORANGE WALK DISTRICT,Mestizo,164
4005,8/1/1989,M,BELIZE,BELIZE CITY,Mestizo,164
4024,6/1/1992,F,CAYO,BELMOPAN CITY,Creole,164
4042,10/12/1991,F,CAYO,BELMOPAN CITY,Oriental,164
4059,2/27/1993,M,ORANGE WALK,SAN LAZARO VILLAGE,Mestizo,164
4080,7/7/1990,M,CAYO,BELMOPAN CITY,Oriental,164
4103,4/26/1990,F,BELIZE,BELIZE CITY,Mestizo,152
4111,5/22/1979,M,CAYO,BELMOPAN CITY,Mestizo,143
4114,12/22/1989,F,BELIZE,BELIZE CITY,Creole,152
4142,4/2/1990,F,STANN CREEK,DANGRIGA TOWN,Garifuna,156
4181,6/1/1990,F,CAYO,-,Mestizo,143
4205,6/28/1989,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,143
4222,9/4/1987,F,STANN CREEK,DANGRIGA TOWN,Garifuna,164
4243,6/3/1987,M,CAYO,CAYO,Mestizo,143
4275,4/25/1992,F,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
4292,5/9/1991,M,BELIZE,BELIZE CITY,Creole,152
4306,1/22/1988,M,CAYO,BELMOPAN CITY,Oriental,164
4326,3/2/1988,M,BELIZE,BELIZE CITY,Other,165
4331,6/16/1992,F,BELIZE,SANDHILL VILLAGE,East Indian,164
4350,3/8/1982,M,CAYO,BELMOPAN CITY,Other,164
4368,8/29/1989,M,COROZAL,SAN ROMAN VILLAGE,Mestizo,117
4396,3/24/1990,M,CAYO,BELMOPAN CITY,Oriental,164
4414,6/20/1990,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,152
4441,3/15/1992,M,BELIZE,BELIZE CITY,Creole,167
4443,5/2/1989,F,BELIZE,BELIZE CITY,Creole,149
4472,12/26/1989,M,STANN CREEK,STANN CREEK,Garifuna,164
4484,4/6/1983,F,NIGERIA,NIGERIA,Other,123
4489,11/4/1972,M,CAYO,BELMOPAN CITY,Other,123
4495,9/2/1993,M,CAYO,BELMOPAN CITY,Mestizo,164
4517,5/17/1993,M,BELIZE,CAYO,Mestizo,164
4535,7/21/1993,M,CAYO,BELMOPAN CITY,Creole,164
4555,3/21/1989,M,CAYO,BELMOPAN CITY,Mestizo,143
4579,9/4/1990,M,BELIZE,BELIZE CITY,Mestizo,164
4582,9/6/1988,F,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
4599,5/17/1989,M,COROZAL,-,Mestizo,172
4604,1/29/1986,M,BELIZE,-,Creole,152
4635,5/9/1986,M,CAYO,BELMOPAN CITY,Other,123
4663,5/9/1986,M,BELIZE,BELIZE CITY,Other,123
4694,10/17/1990,M,BELIZE,COROZAL TOWN,Garifuna,
4713,9/17/1991,F,BELIZE,BELIZE CITY,East Indian,152
4734,8/30/1987,M,BELIZE,BELIZE CITY,Mestizo,164
4739,2/17/1995,M,BELIZE,-,Mestizo,172
4745,1/30/1992,F,BELIZE,BELIZE CITY,East Indian,152
4763,1/8/1991,M,BELIZE,CAYO,Mestizo,143
4776,6/11/1994,M,CAYO,BELMOPAN CITY,Creole,164
4798,2/16/1994,M,CAYO,SAN IGNACIO,Mestizo,164
4813,4/6/1993,M,BELIZE,CAYO,Mestizo,164
4831,5/23/1994,M,BELIZE,STANN CREEK,Creole,164
4846,10/8/1992,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
4872,6/12/1992,M,BELIZE,STANN CREEK,Creole,164
4892,2/11/1995,M,CAYO,-,Creole,143
4919,12/17/1993,M,BELIZE,CAYO,Mestizo,164
4936,6/8/1994,F,BELIZE,BELIZE CITY,Creole,164
4955,5/25/1994,M,BELIZE,-,Mestizo,164
4974,4/2/1993,M,BELIZE,-,Mestizo,164
4991,12/10/1992,M,BELIZE,-,Mestizo,172
5007,12/22/1984,M,CAYO,SAN IGNACIO,Mestizo,143
5037,11/10/1988,M,BELIZE,CAYO,Mestizo,143
5061,9/3/1989,M,CAYO,SAN IGNACIO,Mestizo,143
5095,10/3/1988,M,BELIZE,BELIZE CITY,Creole,143
5107,2/10/1995,M,BELIZE,TOLEDO,Garifuna,164
5133,12/25/1991,F,BELIZE,COROZAL DISTRICT,Mestizo,172
5162,4/23/1993,F,BELIZE,BELIZE CITY,Creole,149
5189,4/6/1983,M,COROZAL,COROZAL TOWN,Mestizo,164
5190,4/14/1991,M,BELIZE,-,Mayan,156
5220,2/15/1991,M,CAYO,BELMOPAN CITY,Mestizo,164
5236,4/3/1992,F,BELIZE,BELIZE CITY,Creole,152
5242,4/13/1995,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,135
5261,10/16/1992,F,BELIZE,BELIZE CITY,East Indian,167
5289,9/4/1995,M,STANN CREEK,DANGRIGA TOWN,Garifuna,164
5308,10/21/1993,M,BELIZE,BELIZE CITY,Mestizo,164
5318,4/26/1994,M,CAYO,-,Mestizo,164
5335,6/13/1991,M,CAYO,BELMOPAN CITY,Mestizo,164
5340,10/29/1994,M,CAYO,BELMOPAN CITY,Garifuna,164
5361,9/22/1995,F,BELIZE,BELIZE CITY,Creole,164
5379,12/12/1995,M,ORANGE WALK,TRIAL FARM,Mestizo,164
5396,5/18/1993,F,CAYO,BELMOPAN CITY,Garifuna,152
5426,3/6/1993,M,ORANGE WALK,-,Mestizo,172
5459,3/12/1989,F,ORANGE WALK,SAN PABLO VILLAGE,Mestizo,172
5468,2/19/1994,M,ORANGE WALK,ORANGE WALK TOWN,East Indian,135
5520,11/17/1993,M,BELIZE,BELIZE CITY,East Indian,152
5547,4/30/1996,M,BELIZE,BELIZE CITY,Creole,120
5567,11/15/1992,M,STANN CREEK,-,Mestizo,164
5574,8/27/1972,M,CAYO,BELMOPAN CITY,Creole,164
5611,5/28/1994,M,BELIZE,BELIZE CITY,Oriental,152
5640,7/17/1990,M,BELIZE,BELIZE CITY,Mestizo,152
5657,9/7/1993,F,BELIZE,BELIZE CITY,Creole,152
5681,1/7/1991,F,BELIZE,BELIZE CITY,Creole,152
5691,9/3/1989,F,BELIZE,BELIZE CITY,Creole,152
5705,5/12/1991,M,BELIZE,ORANGE WALK TOWN,Creole,152
5726,10/30/1992,F,BELIZE,ORANGE WALK TOWN,Mestizo,117
5731,9/22/1993,M,COROZAL,COROZAL,Mestizo,172
5768,9/12/1992,M,BELIZE,ORANGE WALK TOWN,Creole,135
5797,8/11/1994,M,BELIZE,CAYO,Creole,164
5819,10/11/1995,M,CAYO,BELMOPAN CITY,Creole,164
5837,2/24/1984,M,NIGERIA,NIGERIA,Unknown,123
5841,11/7/1993,F,BELIZE,LADYVILLE VILLAGE,Creole,164
5863,10/6/1987,M,CAYO,-,Mestizo,143
5891,8/27/1990,M,BELIZE,-,Mestizo,117
5899,3/7/1995,M,BELIZE,BELIZE,Mestizo,164
5911,2/8/1998,M,CAYO,BELMOPAN CITY,Mestizo,164
5928,9/17/1996,F,BELIZE,-,Garifuna,164
5946,4/12/1994,M,COROZAL,-,Mestizo,117
5985,3/26/1995,M,ORANGE WALK,-,Mestizo,135
6012,5/28/1986,M,ORANGE WALK,ORANGE WALK TOWN,Creole,96
6022,7/17/1985,M,ORANGE WALK,-,Mestizo,152
6051,8/25/1997,M,CAYO,-,Mestizo,164
6068,2/1/1997,M,BELIZE,BELIZE CITY,Creole,167
6071,6/27/1987,M,CAYO,-,Other,123
6077,5/10/1997,M,CAYO,-,Mestizo,142
6118,3/31/1995,M,BELIZE,Belize,Unknown,169
6123,1/17/1997,F,CAYO,SAN IGNACIO,Mestizo,164
6142,7/26/1998,M,TOLEDO,-,Oriental,164
6160,6/15/1998,M,STANN CREEK,-,Creole,164
6179,5/26/1997,M,CAYO,BELMOPAN CITY,Mayan,164
6185,12/14/1998,M,BELIZE,LADYVILLE VILLAGE,Creole,164
6203,10/22/1996,M,CAYO,BELMOPAN CITY,Creole,164
6224,10/27/1998,M,CAYO,-,Mestizo,164
6244,10/17/1997,M,CAYO,BELMOPAN CITY,Other,104
6268,6/8/1991,M,465,BELIZE,Mestizo,152
6297,12/17/1985,F,CAYO,SAN JOSE SUCCOTZ VILLAGE,Mestizo,143
6298,4/12/1994,F,BELIZE,BELIZE,Mestizo,152
6328,6/16/1997,M,BELIZE,BELIZE,Creole,91
6335,12/18/1994,M,BELIZE,BELIZE CITY,Mestizo,164
6338,9/10/1996,F,BELIZE,BELIZE,Creole,152
6368,11/10/1992,M,STANN CREEK,STANN CREEK,East Indian,156
6374,10/7/1995,M,BELIZE,BELIZE,Creole,152
6416,3/24/1997,M,STANN CREEK,-,Mestizo,164
6436,4/8/1997,M,CAYO,BELMOPAN CITY,Mayan,164
6456,7/19/1986,F,CAYO,BELMOPAN CITY,Other,164
6475,3/28/1995,M,BELIZE,BELIZE CITY,Garifuna,167
6501,12/6/1990,M,CAYO,BELMOPAN CITY,Mestizo,152
6527,12/29/1990,M,BELIZE,-,Mestizo,152
6550,4/9/1994,M,COROZAL,-,Mestizo,172
6566,12/19/1999,F,BELIZE,-,Unknown,149
6591,8/19/1999,M,CAYO,BELMOPAN CITY,Unknown,164
6612,11/21/1998,M,CAYO,-,Unknown,98
6633,8/8/1997,M,STANN CREEK,-,Unknown,169
6655,12/16/1999,M,BELIZE,BELIZE CITY,Unknown,129
6675,4/23/1999,M,CAYO,-,Unknown,142
6698,4/22/1998,M,CAYO,BELMOPAN CITY,Mestizo,164
6717,11/28/1998,M,BELIZE,-,Unknown,164
6745,7/5/1999,M,CAYO,BELMOPAN CITY,Unknown,98
6768,12/4/1998,M,CAYO,BELMOPAN CITY,Unknown,164
6787,10/11/1998,M,CAYO,BELMOPAN CITY,Unknown,98
6797,12/8/1999,M,CAYO,SAN IGNACIO,East Indian,164
6820,7/15/1999,M,BELIZE,BELIZE CITY,Creole,152
6830,2/13/2000,M,CAYO,-,Unknown,164
6850,5/17/1999,M,BELIZE,BELIZE CITY,Unknown,120
6875,6/8/2000,F,CAYO,BELMOPAN CITY,Unknown,164
6897,8/4/1999,M,CAYO,BELMOPAN CITY,Unknown,139
6900,7/28/1997,M,TOLEDO,-,Unknown,169
6921,7/20/1998,M,BELIZE,-,Unknown,164
6942,4/29/1974,M,CAYO,BELMOPAN CITY,Creole,152
6943,6/1/1980,M,CAYO,BELMOPAN CITY,Unknown,152
6966,9/29/1991,M,BELIZE,BELIZE,Unknown,152
6995,3/20/2001,M,TOLEDO,-,Mayan,155
7003,11/25/1989,M,COROZAL,-,Unknown,172
7005,2/3/1995,M,COROZAL,-,Mestizo,172
7007,10/2/1993,F,COROZAL,-,Unknown,96
7020,3/14/1998,M,BELIZE,-,Unknown,152
7051,7/27/1998,M,STANN CREEK,-,Other,169
7085,2/17/2001,M,COROZAL,COROZAL TOWN,Mestizo,117
7117,3/12/2001,M,STANN CREEK,-,Mestizo,164
7144,1/23/2000,M,CAYO,BELMOPAN CITY,Other,164
7164,8/24/2000,M,CAYO,BELMOPAN CITY,Mestizo,164
7183,3/28/2000,F,CAYO,BELMOPAN CITY,Mestizo,164
7203,8/12/2002,F,CAYO,BELMOPAN CITY,Creole,164
7233,4/24/1999,M,BELIZE,BELMOPAN CITY,Mestizo,120
7251,11/4/1984,M,BELIZE,BELIZE CITY,Mestizo,152
7266,1/9/1993,M,COROZAL,COROZAL TOWN,Unknown,117
7291,7/22/1989,M,BELIZE,BELIZE CITY,Creole,152
7299,2/14/2002,M,CAYO,BELMOPAN CITY,Mestizo,104
7318,12/9/2001,F,CAYO,BELMOPAN CITY,Creole,104
7338,2/10/2000,M,ORANGE WALK,-,Mestizo,172
7355,7/30/1990,M,ORANGE WALK,-,Mestizo,172
7359,12/12/1995,M,STANN CREEK,DANGRIGA TOWN,Garifuna,135
7363,9/3/2001,M,CAYO,BELMOPAN CITY,Mestizo,104
7381,5/22/2001,F,STANN CREEK,DANGRIGA TOWN,Other,155
7400,10/12/1988,M,COROZAL,COROZAL TOWN,Mestizo,117
7411,7/2/1995,M,BELIZE,-,Creole,167
7446,7/29/2001,F,CAYO,BELMOPAN CITY,Mestizo,142
7463,11/28/2000,F,CAYO,SAN IGNACIO,Mestizo,142
7482,10/9/2001,M,CAYO,-,Mestizo,104
7499,6/12/1984,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,135
7542,2/3/2002,M,BELIZE,BELIZE CITY,Other,164
7560,11/17/1997,M,BELIZE,BELIZE CITY,Creole,152
7598,9/23/2001,M,BELIZE,BELIZE CITY,Creole,119
7617,1/10/2002,M,STANN CREEK,-,Creole,169
7631,3/7/1996,M,BELIZE,BELIZE CITY,Creole,152
7635,1/6/2000,M,BELIZE,BELIZE CITY,Mestizo,152
7663,11/3/2001,M,ORANGE WALK,-,Mestizo,164
7684,6/28/2001,M,CAYO,BELMOPAN CITY,Mestizo,164
7703,5/22/2001,M,CAYO,BELMOPAN CITY,Mestizo,164
7722,4/17/2001,M,CAYO,BELMOPAN CITY,Creole,104
7743,1/25/1999,M,STANN CREEK,-,Mayan,169
7770,6/9/1999,M,ORANGE WALK,-,Mestizo,172
7793,9/24/1991,M,CAYO,SAN IGNACIO,Mestizo,117
7801,5/13/1998,M,BELIZE,BELIZE CITY,Mestizo,152
7837,4/27/1998,M,CAYO,SAN IGNACIO,Mestizo,143
7863,10/24/2001,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,132
7878,4/20/1998,M,BELIZE,BELIZE CITY,Creole,167
7911,12/30/2000,M,CAYO,BELMOPAN CITY,Mestizo,164
7913,8/25/2002,M,COROZAL,-,Mestizo,164
7930,3/15/2003,F,TOLEDO,PUNTA GORDA TOWN,Other,158
7947,11/17/2002,M,TOLEDO,-,Ketchi,164
7952,6/6/2002,M,STANN CREEK,DANGRIGA TOWN,Other,156
7972,10/17/1991,M,BELIZE,BELIZE CITY,Creole,152
8006,8/20/2000,F,BELIZE,BELIZE CITY,Creole,152
8033,6/14/2003,M,CAYO,BELMOPAN CITY,Mestizo,164
